givenName,surname,department,domain,userPrincipalName,samAccountName,Name,ClearPassword,Path
Prudence,Ranshaw,Sales,adatum.com,PrudenceR@adatum.com,PrudenceR,Prudence Ranshaw,wXl8FfAeP71dR,"ou=Sales,dc=adatum,dc=com"
Franky,Whitfeld,Sales,adatum.com,FrankyW@adatum.com,FrankyW,Franky Whitfeld,HlSi9pcFS96mU,"ou=Sales,dc=adatum,dc=com"
Jazmin,Reeve,IT,adatum.com,JazminR@adatum.com,JazminR,Jazmin Reeve,AqfaYrBeMk6pT,"ou=IT,dc=adatum,dc=com"
Briant,Ferrulli,Marketing,adatum.com,BriantF@adatum.com,BriantF,Briant Ferrulli,1kwFtXUJFY5hW,"ou=Marketing,dc=adatum,dc=com"
Rossy,Fee,Managers,adatum.com,RossyF@adatum.com,RossyF,Rossy Fee,UFxT6dzkrU1aV,"ou=Managers,dc=adatum,dc=com"
Celie,Peegrem,IT,adatum.com,CelieP@adatum.com,CelieP,Celie Peegrem,Wlj6sByVO77xU,"ou=IT,dc=adatum,dc=com"
Engelbert,Ferber,Research,adatum.com,EngelbertF@adatum.com,EngelbertF,Engelbert Ferber,WMbJAQQ6Hn5qE,"ou=Research,dc=adatum,dc=com"
Evangelin,Cahn,Research,adatum.com,EvangelinC@adatum.com,EvangelinC,Evangelin Cahn,lP0dfUGEG97lV,"ou=Research,dc=adatum,dc=com"
Melessa,Placstone,Development,adatum.com,MelessaP@adatum.com,MelessaP,Melessa Placstone,LS1ahKAm271wP,"ou=Development,dc=adatum,dc=com"
Zack,Newtown,Managers,adatum.com,ZackN@adatum.com,ZackN,Zack Newtown,R6glgEv3iX6aL,"ou=Managers,dc=adatum,dc=com"
Robenia,Raulston,Marketing,adatum.com,RobeniaR@adatum.com,RobeniaR,Robenia Raulston,NynKI6txEE0kJ,"ou=Marketing,dc=adatum,dc=com"
Winfred,Ridges,IT,adatum.com,WinfredR@adatum.com,WinfredR,Winfred Ridges,ClF87n9Way8uE,"ou=IT,dc=adatum,dc=com"
Odell,Fuggle,Marketing,adatum.com,OdellF@adatum.com,OdellF,Odell Fuggle,buB6yomJBV8bT,"ou=Marketing,dc=adatum,dc=com"
Araldo,Isles,IT,adatum.com,AraldoI@adatum.com,AraldoI,Araldo Isles,4oxXEgZQMn7yV,"ou=IT,dc=adatum,dc=com"
Tressa,Mardoll,Research,adatum.com,TressaM@adatum.com,TressaM,Tressa Mardoll,NT98greZtp8pS,"ou=Research,dc=adatum,dc=com"
Reina,Anfonsi,Marketing,adatum.com,ReinaA@adatum.com,ReinaA,Reina Anfonsi,GCJsCVzWUM2cC,"ou=Marketing,dc=adatum,dc=com"
Halsey,Chillcot,Research,adatum.com,HalseyC@adatum.com,HalseyC,Halsey Chillcot,VuIEBCz9Cc1uD,"ou=Research,dc=adatum,dc=com"
Tracey,Pegden,Managers,adatum.com,TraceyP@adatum.com,TraceyP,Tracey Pegden,U4rctjIZTu3pS,"ou=Managers,dc=adatum,dc=com"
Cairistiona,Gorce,IT,adatum.com,CairistionaG@adatum.com,CairistionaG,Cairistiona Gorce,vRbBC1Gbds8jK,"ou=IT,dc=adatum,dc=com"
Murvyn,Brewett,Sales,adatum.com,MurvynB@adatum.com,MurvynB,Murvyn Brewett,15uDg99lsZ0jT,"ou=Sales,dc=adatum,dc=com"
Harriet,Petrusch,Marketing,adatum.com,HarrietP@adatum.com,HarrietP,Harriet Petrusch,i8bZ16Rgae1eX,"ou=Marketing,dc=adatum,dc=com"
Andonis,Pawelek,Marketing,adatum.com,AndonisP@adatum.com,AndonisP,Andonis Pawelek,QdY4Rm8cEU7kF,"ou=Marketing,dc=adatum,dc=com"
Flynn,Joderli,Marketing,adatum.com,FlynnJ@adatum.com,FlynnJ,Flynn Joderli,1oIfzx25t00jP,"ou=Marketing,dc=adatum,dc=com"
Norrie,Armal,Marketing,adatum.com,NorrieA@adatum.com,NorrieA,Norrie Armal,5GXi3lcGGM8zR,"ou=Marketing,dc=adatum,dc=com"
Laurence,Itscowics,Development,adatum.com,LaurenceI@adatum.com,LaurenceI,Laurence Itscowics,FmyUJhvDBz3bB,"ou=Development,dc=adatum,dc=com"
Gizela,Winspear,Managers,adatum.com,GizelaW@adatum.com,GizelaW,Gizela Winspear,gQynMf3rOA3xB,"ou=Managers,dc=adatum,dc=com"
Sherri,Volleth,Development,adatum.com,SherriV@adatum.com,SherriV,Sherri Volleth,mgTQqIOfJA9pQ,"ou=Development,dc=adatum,dc=com"
Rhetta,Spoole,Marketing,adatum.com,RhettaS@adatum.com,RhettaS,Rhetta Spoole,rwS7uo8Hsk8hN,"ou=Marketing,dc=adatum,dc=com"
Analiese,Dat,Managers,adatum.com,AnalieseD@adatum.com,AnalieseD,Analiese Dat,PamiLR99ow7tV,"ou=Managers,dc=adatum,dc=com"
Kristopher,Carlesso,IT,adatum.com,KristopherC@adatum.com,KristopherC,Kristopher Carlesso,DgRIfHbIYW9iB,"ou=IT,dc=adatum,dc=com"
Chelsy,Brotherhood,Research,adatum.com,ChelsyB@adatum.com,ChelsyB,Chelsy Brotherhood,PIhDk7csnz8eM,"ou=Research,dc=adatum,dc=com"
Florette,Gilvary,Research,adatum.com,FloretteG@adatum.com,FloretteG,Florette Gilvary,wqMwmScpWG5pK,"ou=Research,dc=adatum,dc=com"
Lavinia,Chesters,Sales,adatum.com,LaviniaC@adatum.com,LaviniaC,Lavinia Chesters,YO0LqoYLcb4cC,"ou=Sales,dc=adatum,dc=com"
Harlen,Costa,Sales,adatum.com,HarlenC@adatum.com,HarlenC,Harlen Costa,f4LZY4MJWY7qP,"ou=Sales,dc=adatum,dc=com"
Burton,Kennerley,Sales,adatum.com,BurtonK@adatum.com,BurtonK,Burton Kennerley,yomTXrb8JA5mP,"ou=Sales,dc=adatum,dc=com"
Sarajane,Flecknoe,Marketing,adatum.com,SarajaneF@adatum.com,SarajaneF,Sarajane Flecknoe,vgcJ8yGzZj1eO,"ou=Marketing,dc=adatum,dc=com"
Byram,Fateley,Marketing,adatum.com,ByramF@adatum.com,ByramF,Byram Fateley,EudfKqygVH7aZ,"ou=Marketing,dc=adatum,dc=com"
Rosaline,Culverhouse,Managers,adatum.com,RosalineC@adatum.com,RosalineC,Rosaline Culverhouse,bIiEPkPv5q0fT,"ou=Managers,dc=adatum,dc=com"
Hurley,Lanfare,Sales,adatum.com,HurleyL@adatum.com,HurleyL,Hurley Lanfare,onuuyq19K06xA,"ou=Sales,dc=adatum,dc=com"
Wren,Hayball,Managers,adatum.com,WrenH@adatum.com,WrenH,Wren Hayball,lStPtn67K85pG,"ou=Managers,dc=adatum,dc=com"
Ros,Gabriel,Sales,adatum.com,RosG@adatum.com,RosG,Ros Gabriel,4VdnXAyrO67kV,"ou=Sales,dc=adatum,dc=com"
Amii,Dixson,Marketing,adatum.com,AmiiD@adatum.com,AmiiD,Amii Dixson,KoeXDWc6cI5aW,"ou=Marketing,dc=adatum,dc=com"
Bunnie,Maile,Development,adatum.com,BunnieM@adatum.com,BunnieM,Bunnie Maile,3bR5G7nI0t4lA,"ou=Development,dc=adatum,dc=com"
Gabbie,Callister,Research,adatum.com,GabbieC@adatum.com,GabbieC,Gabbie Callister,7eg0Mnpr6M6pT,"ou=Research,dc=adatum,dc=com"
Zebedee,de Voiels,Marketing,adatum.com,Zebedeed@adatum.com,Zebedeed,Zebedee de Voiels,ndDn69OjTO6pW,"ou=Marketing,dc=adatum,dc=com"
Lilllie,Poundford,Managers,adatum.com,LilllieP@adatum.com,LilllieP,Lilllie Poundford,ftIZ6TZxmL9oP,"ou=Managers,dc=adatum,dc=com"
Ethelyn,Backshill,Research,adatum.com,EthelynB@adatum.com,EthelynB,Ethelyn Backshill,KyAYdpj12l1jC,"ou=Research,dc=adatum,dc=com"
Alphonso,Ratnage,Development,adatum.com,AlphonsoR@adatum.com,AlphonsoR,Alphonso Ratnage,8OHAOcaIak2zD,"ou=Development,dc=adatum,dc=com"
Gayler,McEwen,Managers,adatum.com,GaylerM@adatum.com,GaylerM,Gayler McEwen,fVnIxPKtcB1sM,"ou=Managers,dc=adatum,dc=com"
Rancell,Edyson,Sales,adatum.com,RancellE@adatum.com,RancellE,Rancell Edyson,FdDHIFJYRt7eF,"ou=Sales,dc=adatum,dc=com"
Normy,Schollar,Marketing,adatum.com,NormyS@adatum.com,NormyS,Normy Schollar,Dg6yCUqfx50jK,"ou=Marketing,dc=adatum,dc=com"
Basilius,Rhys,Research,adatum.com,BasiliusR@adatum.com,BasiliusR,Basilius Rhys,9Xg9REiESb1dQ,"ou=Research,dc=adatum,dc=com"
Heath,Gridley,Development,adatum.com,HeathG@adatum.com,HeathG,Heath Gridley,OZZtd4UUhb7sA,"ou=Development,dc=adatum,dc=com"
Law,Marrable,Managers,adatum.com,LawM@adatum.com,LawM,Law Marrable,y5Hf9mfdAR1wK,"ou=Managers,dc=adatum,dc=com"
Aharon,Whistlecroft,IT,adatum.com,AharonW@adatum.com,AharonW,Aharon Whistlecroft,UVqvVy7E470uO,"ou=IT,dc=adatum,dc=com"
Janka,Bimrose,IT,adatum.com,JankaB@adatum.com,JankaB,Janka Bimrose,TzYwok10ZU7wQ,"ou=IT,dc=adatum,dc=com"
Consalve,Pulhoster,Marketing,adatum.com,ConsalveP@adatum.com,ConsalveP,Consalve Pulhoster,X9FG6R6n9r1xR,"ou=Marketing,dc=adatum,dc=com"
Jarret,Goldis,Research,adatum.com,JarretG@adatum.com,JarretG,Jarret Goldis,4xGnhCrG374yM,"ou=Research,dc=adatum,dc=com"
Tabatha,Burdikin,Development,adatum.com,TabathaB@adatum.com,TabathaB,Tabatha Burdikin,Jt4u10ywFk3zL,"ou=Development,dc=adatum,dc=com"
Cesya,Sucre,Marketing,adatum.com,CesyaS@adatum.com,CesyaS,Cesya Sucre,dj0bLY4U4Q9nT,"ou=Marketing,dc=adatum,dc=com"
Domini,Tofful,Marketing,adatum.com,DominiT@adatum.com,DominiT,Domini Tofful,IzoEg8gahB1tM,"ou=Marketing,dc=adatum,dc=com"
Abraham,Cromer,Development,adatum.com,AbrahamC@adatum.com,AbrahamC,Abraham Cromer,ECDEzjWnnD1uX,"ou=Development,dc=adatum,dc=com"
Chastity,Nettles,Sales,adatum.com,ChastityN@adatum.com,ChastityN,Chastity Nettles,BcRw67FhLq7zR,"ou=Sales,dc=adatum,dc=com"
Jeromy,Davies,Development,adatum.com,JeromyD@adatum.com,JeromyD,Jeromy Davies,UiBLehaAaA3xG,"ou=Development,dc=adatum,dc=com"
